iter	Passed	Remaining
0	0	71
1	1	75
2	2	77
3	3	76
4	4	76
5	4	74
6	5	73
7	6	72
8	7	71
9	7	71
10	8	70
11	9	69
12	10	68
13	10	67
14	11	65
15	12	64
16	12	63
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	18	57
24	18	55
25	19	54
26	19	53
27	20	52
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	25	43
37	26	43
38	26	42
39	27	41
40	28	40
41	28	39
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
